label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11
2	-650 kg	1.3102	volleyball	NULL	0.0234	1209	2.7455	motor sports	937 m	Oakland, San Bernardino, Los Angeles	0.4961	0.4449
4	1991 kg	0.0212	basketball	San Jose	0.1212	992	3.4153	soccer	1301 m	None	-0.1785	-0.9624
4	1665 kg	0.0765	ice hockey	San Bernardino	1.7912	605	-0.4992	soccer	577 m	Moreno Valley	1.22	-0.0089
2	1092 kg	0.8592	volleyball	Chula Vista, Oakland	-0.0761	2025	0.5524	motor sports	833 m	sAN dIEGO, sAN bERNARDINO, fREMONT	0.4092	0.6139
2	87 kg	1.2471	volleyball	Irvine	0.958	706	1.4222	boxing	1462 m	San Bernardino, Los Angeles	0.7314	-0.8105
4	-188 kg	1.708	motor sports	San Bernardino, Long Beach	-0.0578	1133	0.7197	soccer	1565 m	Modesto	0.9736	-0.2324
1	752 kg	-0.307	motor sports	Fresno, Moreno Valley	n/a	130	-1.2083	track & field	14 m	Bakersfield, San Jose	1.5374	0.2625
1	n/a	2.4654	track & field	Fresno, Riverside, Moreno Valley, Santa Ana	-0.207	447	-0.004	track & field	56 m	?	0.8724	-0.7296
5	586 kg	0.326	motor sports	Stockton	0.0641	632	-1.9583	soccer	1102 m	Long Beach	0.1735	1.3844
3	663 kg	0.2436	baseball	San Jose	0.5606	-2	0.1414	badminton	343 m	Riverside	1.2017	-0.2814
2	0 kg	-0.1565	football	Chula Vista, Irvine	0.308	-602	0.6159	football	-306 m	Los Angeles, Fremont, San Diego, San Bernardino	1.371	0.6083
5	715 kg	0.5837	golf	Stockton	-0.0067	70	-0.1665	basketball	749 m	Santa Clarita	2.0354	1.7083
3	520 kg	0.447	baseball	Santa Clarita	0.5107	613	0.4459	badminton	970 m	Riverside	0.7563	0.6077
1	-248 kg	-0.0586	track & field	Modesto	-0.2304	1402	0.7757	track & field	396 m	Bakersfield, Santa Ana, San Jose, Irvine	0.2968	0.4522
3	916 kg	1.8218	boxing	Santa Clarita	-0.331	9	2.027	tennis	785 m	San Francisco	0.8699	0.4174
4	1013 kg	-0.1289	ice hockey	San Francisco, Long Beach	0.542	1140	0.7001	soccer	2716 m	Stockton, Modesto	0.4018	0.1529
1	74 kg	-0.0067	soccer	Fresno	1.3545	487	0.8107	golf	13 m	San Jose, Bakersfield	0.5171	1.0982
4	-272 kg	0.6585	basketball	San Francisco, San Bernardino	0.9404	1084	-0.0447	soccer	367 m	Stockton	0.4349	0.1642
3	-519 kg	0.7796	running	San Diego, Fremont	0.4523	-219	3.0661	ice hockey	1266 m	Riverside	0.0003	0.2172
4	1065 kg	0.0507	basketball	Long Beach	0.4193	1294	0.6461	soccer	312 m	Modesto, Stockton	0.4995	-0.1488
0	-886 kg	0.4136	tennis	San Diego, Bakersfield, Anaheim, Fremont	-0.1033	1269	0.1783	baseball	321 m	Sacramento	0.2237	0.3284
5	1065 kg	0.0871	golf	Stockton	0.4669	235	-0.2746	basketball	-658 m	Santa Clarita	0.4588	0.0234
0	1399 kg	-0.1181	tennis	Bakersfield, Fremont	0.7095	848	0.3997	baseball	1181 m	Sacramento	1.8828	-0.0522
0	851 kg	1.0489	soccer	Anaheim, San Diego	0.435	1631	-0.1514	baseball	40 m	Fresno	2.0087	-0.5188
5	-874 kg	0.1213	golf	Stockton	0.2147	-262	-0.3451	basketball	-1880 m	Santa Clarita	0.0247	1.1948
3	455 kg	1.4247	baseball	San Jose	2.1907	603	0.3595	badminton	1213 m	San Francisco	1.7801	None
5	699 kg	-0.4779	badminton	Stockton	0.2776	-643	1.7698	basketball	2476 m	Long Beach	-0.7309	2.113
2	407 kg	0.3211	volleyball	Oakland, Chula Vista	1.6017	856	0.1575	running	1333 m	Los Angeles	0.551	1.0632
3	649 kg	1.3709	boxing	Santa Clarita	0.0834	-195	2.3376	ice hockey	1362 m	San Francisco	-0.5626	1.3839
1	10 kg	0.5859	track & field	Moreno Valley, Modesto, Fresno	-0.0216	-244	0.9153	football	570 m	Stockton, Moreno Valley	0.1653	-0.0447
1	812 kg	-0.133	track & field	Riverside, Modesto, Santa Ana, Fresno	1.5116	631	1.6998	track & field	13 m	Stockton	0.5555	-0.2892
0	-756 kg	-1.3096	soccer	San Diego, Sacramento, Fremont, Bakersfield, Anaheim	1.5442	623	-0.2604	baseball	1409 m	Fresno	1.8628	0.5078
0	1163 kg	1.7529	football	Anaheim, Fremont	0.8103	542	-0.858	baseball	173 m	Moreno Valley, Modesto	1.3634	0.0744
4	20 kg	0.7853	ice hockey	San Bernardino	0.4754	1854	0.96	soccer	635 m	Moreno Valley	0.2804	1.1902
4	3787 kg	0.8907	basketball	San Bernardino, Long Beach	0.5115	752	1.4326	soccer	1309 m	Stockton	0.1457	0.6624
2	-63 kg	n/a	volleyball	Chula Vista, Oakland	0.8968	1215	0.5463	running	342 m	San Diego	-0.083	1.735
1	1215 kg	-0.1796	motor sports	Modesto	1.7411	774	0.3948	golf	-1774 m	Irvine, Anaheim, Santa Ana, San Jose, Bakersfield	0.2767	0.801
5	872 kg	-0.01	golf	Stockton	-0.9353	740	0.9072	basketball	259 m	Long Beach	1.2418	1.7139
0	1450 kg	0.6627	soccer	Oakland	-0.5589	618	-0.1281	baseball	85 m	Fresno	0.3378	0.1002
2	1255 kg	0.5497	volleyball	Oakland, Irvine	0.3315	1392	0.0312	motor sports	1177 m	San Bernardino, Oakland, San Diego	0.7312	1.5637
5	305 kg	0.2838	golf	Stockton	1.5023	277	-0.596	basketball	765 m	Santa Clarita	0.0565	1.088
3	660 kg	1.8894	motor sports	San Jose	0.1434	295	1.4436	badminton	258 m	San Francisco	0.1864	0.5111
0	2182 kg	1.6877	FOOTBALL	Los Angeles, San Diego, Sacramento, Fremont, Bakersfield	1.5539	2012	0.3087	baseball	19 m	Stockton, Moreno Valley	0.748	-0.1918
3	1935 kg	1.702	baseball	San Jose	1.4877	212	-0.0521	badminton	231 m	San Francisco	0.8915	1.2596
0	-112 kg	1.5125	soccer	San Diego, Bakersfield, Sacramento, Los Angeles, Fremont	0.7148	268	1.1227	baseball	797 m	Fresno	0.4018	0.6832
4	-718 kg	0.1662	ice hockey	Long Beach	0.8464	-576	0.87	soccer	520 m	Moreno Valley, Modesto	0.8239	0.5715
5	1166 kg	0.661	running	Stockton	0.1373	-112	0.312	basketball	1571 m	Long Beach	-0.9621	1.1845
2	864 kg	0.7213	volleyball	Irvine, Chula Vista	0.0659	613	0.1283	baseball	621 m	Oakland	0.1446	0.3274
0	730 kg	0.3711	tennis	Fremont, San Diego, Anaheim, Sacramento	0.8228	2625	1.6397	baseball	446 m	Sacramento	0.6215	-0.9968
3	1111 kg	0.5493	baseball	Santa Clarita	1.5583	39	-0.4144	Badminton	1112 m	San Francisco	-0.3733	0.7756
4	250 kg	0.0986	ice hockey	San Francisco, San Bernardino	-0.5009	1252	-0.0237	soccer	2640 m	fremont, los angeles, oakland, san diego	1.4414	-0.0007
3	926 kg	1.3094	boxing	Santa Clarita	-0.983	-191	1.474	badminton	487 m	Riverside	1.639	-0.184
5	-2 kg	0.8129	running	Stockton	2.113	728	-0.243	basketball	-374 m	Santa Clarita	0.6559	-0.4277
2	-727 kg	-0.1378	NULL	Oakland, Chula Vista	-0.0498	2478	-0.9143	motor sports	514 m	Los Angeles	0.9485	1.8249
3	-397 kg	-0.6786	baseball	Santa Clarita	1.0034	548	1.0098	volleyball	12 m	sAN fRANCISCO	2.2329	0.1047
4	-161 kg	0.3712	basketball	San Bernardino, Long Beach	0.9937	1280	1.0898	soccer	1122 m	Moreno Valley	0.9749	-0.3382
5	-7 kg	0.6525	running	Stockton	-0.1211	906	0.7652	basketball	333 m	Long Beach	-0.2751	0.9969
2	2676 kg	0.4059	volleyball	Irvine	0.2395	579	0.6048	motor sports	1155 m	San Diego, Oakland, Los Angeles, Fremont	1.439	0.8076
5	2318 kg		badminton	Stockton	0.0793	468	-0.7783	basketball	341 m	Los Angeles, San Bernardino	-0.265	-1.0334
3	553 kg	0.8267	volleyball		0.5874	-836	1.1701	n/a	-89 m	San Francisco	0.914	-0.0298
0	44 kg	-0.3174	soccer	San Diego	-0.2131	1373	0.4744	baseball	-1 m	Fresno	0.8872	0.7424
0	1519 kg	-0.3672	tennis	Fremont	-0.0683	1606	0.1527	baseball	2709 m	Sacramento	0.7213	0.9141
4	175 kg	-0.428	ice hockey	San Francisco	0.7425	-92	0.3616	soccer	2255 m	Moreno Valley	0.7974	-0.1685
2	-54 kg	-0.12	volleyball	Irvine, Oakland	-0.4484	209	0.4692	soccer	609 m	San Diego	1.1488	0.4924
5	-224 kg	0.0385	golf	Long Beach, San Bernardino	0.6338	1086	-0.4376	basketball	859 m	Santa Clarita	0.3026	1.3899
2	-730 kg	0.4759	volleyball	Santa Clarita	1.4687	723	0.5506	motor sports	1175 m	Fremont	1.4782	-0.4036
3	-430 kg	1.5793	boxing	San Jose	0.8208	-1035	0.01	badminton	1944 m	Riverside	0.7013	2.2538
4	1245 kg	0.237	basketball	SAN FRANCISCO, SAN BERNARDINO	-0.975	1118	1.2184	soccer	1885 m	Stockton, Modesto	-0.2187	1.4366
2	463 kg	1.0831	volleyball	Chula Vista	0.2315	-234	0.5483	boxing	1035 m	San Diego, Oakland, Fremont, San Bernardino	0.3197	1.5178
0	734 kg	-1.4424	badminton	Anaheim, Bakersfield	0.3374	668	0.6961	baseball	-727 m	Sacramento	0.2651	-0.2641
0	482 kg	0.9968	tennis	Stockton	0.0888	3044	0.1206	baseball	193 m	Sacramento	0.1655	0.9091
5	2158 kg	-0.2514	golf	Stockton	0.0038	310	-0.0402	basketball	-151 m	Santa Clarita	0.5617	1.5249
2	1459 kg	0.4179	volleyball	Chula Vista	0.2124	838	1.2396	boxing	309 m	San Bernardino, Los Angeles, San Diego, Oakland	-0.3266	1.7746
1	937 kg	1.4404	track & field	San Bernardino	-0.2309	1278	0.2948	track & field	307 m	Bakersfield, Santa Ana, San Jose	0.9064	1.2314
2	942 kg	0.9936	volleyball	Irvine, Oakland	0.1408	639	0.8021	motor sports	449 m	San Bernardino	0.2949	1.2895
1	589 kg	-0.0532	track & field	Riverside, Moreno Valley, Santa Ana	0.2311	74	1.5069	golf	-298 m	Chula Vista, Santa Ana, Irvine, Bakersfield	-0.3269	0.3069
5	-144 kg	-0.2603	golf	Stockton	0.3159	515	0.9795	basketball	-1363 m	Santa Clarita	1.1929	1.0943
5	-1069 kg	-0.2444	badminton	Stockton	0.0695	-973	1.9282	basketball	-794 m	Santa Clarita	0.1274	1.3709
5	1019 kg	-0.345	running	Stockton	0.5634	300	-0.8389	basketball	2274 m	Santa Clarita	-0.8276	1.9847
1	1183 kg	1.4914	track & field	Santa Clarita	-0.6406	-192	0.0632	track & field	-355 m	Irvine, Anaheim	-0.3118	0.5644
3	-811 kg	1.1974	boxing	Chula Vista	0.9904	-258	0.9845	volleyball	1348 m	San Francisco	0.1465	0.2069
0	-397 kg	0.7596	tennis	San Jose	1.0139	1569	0.0171	baseball	438 m	Sacramento	1.2669	0.5389
4	445 kg	0.2569	ice hockey	Long Beach, San Bernardino	1.038	1432	-0.2617	soccer	296 m	Stockton	0.5225	
5	1498 kg	1.1439	running	Stockton	-0.4272	1921	-1.0224	basketball	788 m	Santa Clarita	0.3977	1.7365
1	783 kg	0.5429	motor sports	MODESTO, MORENO VALLEY	0.0674	-548	3.0883	track & field	309 m	Chula Vista, Anaheim, San Jose, Irvine, Bakersfield	-0.1949	0.7168
5	1214 kg	0.4194	badminton	Stockton	-0.5923	118	-0.2799	soccer	-1203 m	Long Beach	0.702	0.2159
0	213 kg	-0.2252	tennis	stockton	-0.5732	1749	0.2505	baseball	-659 m	Fresno	1.2876	0.9
3	891 kg	0.126	baseball	San Jose	-0.0086	-397	1.5993	tennis	35 m	Riverside	0.0056	-0.5683
4	1675 kg	-0.1759	basketball	San Bernardino, Long Beach	1.0488	330	0.4598	soccer	1112 m	Modesto, Stockton	-0.1353	0.1904
4	467 kg	0.1453	basketball	Long Beach, San Bernardino	1.2945	930	0.9566	soccer	1332 m	Modesto, Stockton	0.0046	-1.0368
4	-218 kg	1.8419	ice hockey	Long Beach	-0.0562	948	-0.3277	soccer	17 m	Modesto, Stockton	0.6954	0.7721
1	-672 kg	0.1954	motor sports	Riverside, Fresno, Moreno Valley, Santa Ana	0.0381	-609	-0.1035	golf	1756 m	Anaheim, Bakersfield	-0.5789	0.12
3	501 kg	0.4675	baseball	Santa Clarita	0.0271	898	2.3545	ICE HOCKEY	1285 m	riverside	-0.6249	0.8472
3	39 kg	-0.2978	boxing	Santa Clarita	-0.7703	590	-1.4328	volleyball	-1067 m	Fremont, Los Angeles	0.0805	-0.4295
1	-617 kg	1.0591	track & field	Stockton	0.4589	-355	0.9197	track & field	-846 m	Bakersfield, Santa Ana, Anaheim	-0.3558	0.4266
1	-363 kg	-0.3924	NULL	Fresno, Riverside, Santa Ana, Moreno Valley	0.9117	872	-1.2689	track & field	-1457 m	San Jose, Anaheim, Bakersfield	1.5948	-0.2302
4	1568 kg	0.5686	ice hockey	San Bernardino	0.0605	1152	1.7816	soccer	581 m	Moreno Valley	0.4609	-0.838
4	416 kg	1.3943	tennis	San Francisco, San Bernardino	0.5554	279	-0.2261	soccer	892 m	Modesto	-0.5313	0.2501
5	801 kg	0.2341	running	Stockton	0.3625	1621	-1.383	basketball	191 m	Long Beach	0.692	0.7944
2	1187 kg	1.0835	volleyball	Irvine	-0.0804	1809	1.2171	football	962 m	Oakland, Fremont, Los Angeles, San Diego	2.0853	0.6782
5	898 kg	1.0917	running	Stockton	0.6378	-300	0.7304	BASKETBALL	1136 m	Long Beach	-0.4755	-0.2867
1	1009 kg	0.9467	track & field	Modesto	0.8246	128	1.7117	golf	1164 m	Anaheim, San Jose, Chula Vista	0.0587	1.1059
0	527 kg	1.0726	track & field	San Diego, Fremont, Bakersfield, Los Angeles, Sacramento	1.1795	1989	0.8286	Baseball	1524 m	Fresno	1.2093	0.4028
4	646 kg	-0.1971	basketball	Long Beach, San Bernardino	-0.0598	868	0.4193	soccer	758 m	Moreno Valley, Stockton	0.2383	0.3141
5	529 kg	0.9731	running	Stockton	0.6043	40	-0.5998	basketball	3035 m	Santa Clarita	0.1976	-0.7254
5	1001 kg	0.9613	golf	Stockton	0.7515	1794	-0.4699	basketball	236 m	Long Beach	2.4807	0.2936
1	N/A	0.3018	motor sports	Moreno Valley, Modesto, Riverside	0.5848	200	1.115	track & field	690 m	Anaheim, Santa Ana, San Jose, Chula Vista	0.6486	1.3157
2	-194 kg	1.4515	volleyball	Chula Vista, Irvine	-0.0073	1105	-0.0697	motor sports	1447 m	fremont	1.811	1.9757
2	-324 kg	0.9249	volleyball	Irvine, Chula Vista	1.4086	813	0.2915	running	-188 m	San Diego, Oakland, San Bernardino	1.1389	0.7762
4	858 kg	1.92	basketball	Long Beach	0.3472	657	-0.5321	soccer	1458 m	Stockton, Moreno Valley	1.1602	-0.157
5	1233 kg	0.3185	golf	Stockton	0.4842	1426	-0.4153	basketball	489 m	Santa Clarita	0.2129	0.5916
0	1030 kg	0.8625	football	Bakersfield, San Diego, Anaheim, Fremont, Sacramento	1.0418	372	0.8845	baseball	2903 m	Sacramento	1.4656	0.2709
0	752 kg	-0.5021	soccer	Modesto, Fresno, Riverside	0.7789	772	1.2388	baseball	768 m	Sacramento	0.3185	0.6819
0	503 kg	0.7764	football	Bakersfield, Anaheim, Fremont	-0.0363	N/A	1.1589	baseball	1005 m	Sacramento	1.7971	0.7632
1	-577 kg	1.2925	MOTOR SPORTS	Riverside	0.5215	-225	0.3032	track & field	488 m	Bakersfield, Anaheim, Irvine, Chula Vista	0.2008	1.2505
5	964 kg	0.113	running	Stockton	-0.1153	817	-1.3724	basketball	515 m	Long Beach	1.303	1.4162
1	346 kg	1.7715	soccer	Santa Ana, Riverside, Modesto, Fresno	0.6048	706	-0.5472	golf	859 m	Chula Vista, Santa Ana, San Jose, Irvine, Anaheim	0.2529	1.3869
5	-500 kg	0.822	golf	Stockton	0.7823	243	1.5464	volleyball	1123 m	Long Beach	-0.5291	0.6596
1	1382 kg	1.3093	motor sports	Moreno Valley, Modesto	1.5788	?	0.4628	soccer	-547 m	Bakersfield, Irvine, Anaheim	0.4045	0.7568
5	101 kg	0.3894	track & field	San Jose	1.1817	359	0.7716	basketball	110 m	Santa Clarita	-0.5614	0.6732
2	2109 kg	1.2075	football	Irvine, Oakland	0.9732	13	-0.5239	boxing	-3 m	san bernardino, fremont, san diego	0.9859	0.2324
0	1789 kg	0.738	volleyball	Fremont, San Diego, Sacramento, Anaheim, Los Angeles	1.0845	756	-0.0594	baseball	-1140 m	Oakland, Los Angeles, Fremont, San Bernardino	0.2613	-0.5093
4	2055 kg	0.9008	basketball	San Francisco, San Bernardino	1.2167	1934	0.8464	SOCCER	1519 m	Fresno	-0.3121	0.5293
2	-1145 kg	-0.7298	volleyball	Chula Vista	0.544	-119	0.4683	running	800 m	Los Angeles, Oakland, San Diego	0.7965	1.3068
5	-270 kg	0.9389	running	Stockton	0.4135	907	-0.255	basketball	-49 m	Santa Clarita	0.5567	1.2112
4	?	0.0446	ice hockey	Long Beach	0.6336	299	0.6145	soccer	455 m	Moreno Valley	-0.0356	-0.3182
3	-127 kg	0.1898	baseball	Santa Clarita	1.7021	-27	1.2422	ice hockey	-251 m	Riverside	0.8698	1.3142
0	615 kg	0.4963	football	Sacramento, Anaheim, Bakersfield, San Diego	0.2635	568	0.9783	baseball	550 m	Long Beach	1.1608	-0.6922
1	-338 kg	0.8905	motor sports	Santa Ana, Riverside, Modesto, Fresno	-0.004	158	0.0563	golf	554 m	San Jose, Irvine, Anaheim, Santa Ana, Bakersfield	-0.1459	-0.7731
5	1406 kg	0.7496	golf	Stockton	0.4393	2563	0.7932	Basketball	826 m	Santa Clarita	1.0442	0.4357
5	1315 kg	0.0953	badminton	Stockton	0.9387	1364	-0.1044	basketball	87 m	Santa Clarita	-1.0927	1.1113
3	990 kg	0.8159	Baseball	Stockton	0.3323	-531	0.755	ice hockey	1607 m	San Francisco	1.2888	0.4081
0	1027 kg	1.8848	football	Sacramento, Bakersfield, San Diego	0.7508	155	0.8711	baseball	1541 m	Sacramento	0.1776	0.9586
1	440 kg	-0.3122	track & field	Modesto, Moreno Valley, Fresno, Riverside	0.5512	450	0.1103	golf	1014 m	San Jose, Irvine, Anaheim, Santa Ana	-1.1131	0.8101
4	700 kg	0.7446	basketball	Long Beach, San Bernardino	-0.4453	1471	0.1135	soccer	1781 m	Moreno Valley	1.8039	0.1638
1	1568 kg	-0.2978	track & field	Santa Ana, Modesto, Moreno Valley	0.3895	-352	1.8138	track & field	-1739 m	Bakersfield, Anaheim, Chula Vista, San Jose	0.1982	1.0982
2	-1220 kg	1.0872	volleyball	Oakland, Irvine	0.2174	703	2.2483	football	-392 m	Oakland, San Bernardino, Los Angeles, San Diego	2.0875	0.5749
4	447 kg	1.6626	ice hockey	San Francisco	0.6676	1167	0.3448	soccer	3332 m	Moreno Valley	1.2588	0.1257
4	-105 kg	-0.1383	basketball	San Bernardino, San Francisco	-0.4759	1202	-0.2452	soccer	1417 m	Moreno Valley	-0.5476	0.675
1	945 kg	2.4756	motor sports	Riverside, Moreno Valley	-0.2935	353	1.2174	track & field	-901 m	San Jose	0.9745	-0.3405
5	1721 kg	0.1461	golf	Stockton	0.4083	-491	0.5748	basketball	1819 m	Santa Clarita	0.9276	-0.3725
0	1419 kg	0.2966	football	Bakersfield	-0.2843	644	1.1105	baseball	1868 m	Fresno	0.4357	-0.1267
5	184 kg	0.9807	motor sports	Stockton	0.4937	1355	0.3853	basketball	-1760 m	Long Beach	0.4305	1.3549
1	-437 kg	0.4026	track & field	Fresno, Modesto, Santa Ana	1.2373	-239	0.2614	golf	-861 m	Anaheim, Santa Ana, Bakersfield, San Jose	0.1805	0.344
1	-204 kg	1.3791	basketball	Santa Ana	0.7947	-328	0.4074	golf	1221 m	Irvine	-0.1053	-0.0663
3	30 kg	0.4319	baseball	Santa Clarita	0.3305	-642	0.6393	VOLLEYBALL	-548 m	Riverside	0.3419	1.0332
0	210 kg	0.9135	football	Sacramento, Los Angeles	0.0203	1359	1.0052	baseball	1525 m	Fresno	0.4064	0.8616
0	-1504 kg	0.7625	soccer	SAN DIEGO, SACRAMENTO, BAKERSFIELD, FREMONT	0.0794	1193	1.0475	baseball	1272 m	Fresno	1.3631	1.1995
0	1835 kg	0.4978	soccer	Anaheim, Sacramento, Bakersfield, Los Angeles, Fremont	-0.0498	-24	0.1536	baseball	1181 m	Sacramento	0.902	-1.5784
0	?	0.3007	tennis	Sacramento, San Diego, Bakersfield	0.1914	795	-1.214	baseball	3370 m	Sacramento	0.3974	1.1428
3	-305 kg	0.8381	boxing	Santa Clarita	1.4049	408	1.1066	badminton	1666 m	San Francisco	-0.1302	1.5728
1	-1778 kg	0.0719	TRACK & FIELD	Fresno, Moreno Valley, Modesto	0.3239	-515	0.4579	golf	1262 m	Chula Vista, San Jose, Anaheim, Santa Ana	0.122	1.073
0	776 kg	0.2853	football	Anaheim, Sacramento	1.222	937	-0.1109	baseball	707 m	Sacramento	0.4522	-0.7943
5	674 kg	0.7044	running	Stockton	0.6321	972	0.3474	basketball	2535 m	Long Beach	0.5748	0.3299
3	578 kg	0.3643	baseball	Santa Clarita	1.5431	-395	0.5285	badminton	427 m	Riverside	0.642	-1.7431
1	-1040 kg	1.6702	motor sports	Riverside, Moreno Valley, Fresno, Santa Ana	-0.4665	114	0.0146	track & field	3342 m	Irvine, Bakersfield, Chula Vista	2.0241	1.401
1	-566 kg	1.1409	boxing	Modesto, Santa Ana, Moreno Valley, Fresno	0.9251	174	0.1175	track & field	418 m	Chula Vista, Bakersfield, Irvine	-0.8945	1.0452
3	57 kg	0.3306	baseball	Fremont, Sacramento	-0.357	-586	0.1833	NULL	827 m	San Francisco	-0.1276	2.2618
1	840 kg	0.8672	motor sports	Los Angeles, Sacramento	-0.6515	-417	-1.7266	track & field	202 m	Anaheim, Bakersfield, Chula Vista	0.1704	0.8017
0	11 kg	0.0962	tennis	Los Angeles	0.9576	613	-0.1226	baseball	1493 m	Fresno	1.3264	NULL
2	-519 kg	0.0852	track & field	Chula Vista, Irvine	0.6688	1988	-0.3665	running	209 m	Fremont, Oakland, San Diego, San Bernardino	2.3349	1.2255
5	845 kg	-0.401	golf	Stockton	0.5333	698	-1.2678	basketball	None	Santa Clarita	-0.1775	0.6287
0	292 kg	0.757	soccer	Bakersfield, Fremont	0.3044	1642	0.6165	baseball	1801 m	Fresno	0.1595	0.4891
0	450 kg	2.0609	tennis	Bakersfield, San Diego, Fremont, Sacramento, Anaheim	-0.0228	1085	1.1472	baseball	384 m	Sacramento	0.9982	0.6405
3	-402 kg	0.3749	boxing	Santa Clarita	-0.2321	1883	-0.2102	boxing	None	San Francisco	-0.493	-0.154
4	684 kg	0.5014	basketball	San Francisco	-0.8329	-100	0.5418	soccer	100 m	Santa Clarita	0.8901	1.549
3	526 kg	0.4416	baseball	Santa Clarita	1.2085	540	0.822	badminton	2133 m	San Francisco	-0.4179	0.3653
5	1119 kg	0.0291	NULL	Stockton	-0.0243	1437	-0.9888	basketball	1791 m	Santa Clarita	0.3945	-0.1958
2	576 kg	1.3317	volleyball	Chula Vista	0.3997	-183	1.1634	boxing	809 m	San Bernardino	1.73	-0.03
0	?	0.238	soccer	Anaheim, Fremont, Bakersfield	0.7106	1206	-0.2369	baseball	1680 m	Sacramento	0.2099	-0.7461
2	-1965 kg	1.1912	volleyball	Oakland	0.5486	928	1.7974	track & field	1147 m	San Diego, Fremont	0.2202	2.2315
1	417 kg	1.0615	track & field	Riverside, Modesto, Moreno Valley, Santa Ana	0.3222	150	0.1779	track & field	962 m	San Jose, Bakersfield	-1.0895	0.7513
3	243 kg	0.6063	baseball	Santa Clarita	0.2102	-1040	0.8217	ice hockey	824 m	San Francisco	0.8002	0.3251
3	1373 kg	0.3793	baseball	San Jose	0.7342	1038	-0.9414	ice hockey	577 m	Oakland	2.1985	0.7523
2	48 kg	0.6131	volleyball	Chula Vista	0.8294	700	1.3164	track & field	2117 m	Long Beach	0.8147	0.2072
3	793 kg	0.0537	baseball	Santa Clarita	1.0059	-24	-0.3312	ICE HOCKEY	45 m	San Francisco	0.2781	0.7508
5	891 kg	0.388	badminton	Stockton	0.1328	1532	-0.6782	basketball	706 m	Santa Clarita	1.1266	1.7787
1	-956 kg	1.187	track & field	Moreno Valley	2.131	-721	1.5571	TRACK & FIELD	-984 m	San Jose, Bakersfield, Irvine, Santa Ana	-0.4341	1.8312
